file_name,number_leaves,number_nodes,execution_time_kolo,[RLABL]-FFAC_best_correction_factor,[RLABL]-execution_time_radial_layout,[RLABL]-execution_time_ANBC,[RLABL]-execution_time_FFAC,[RLABL]-radial_layout_unordered_tree_stress,[RLABL]-radial_layout_ordered_tree_stress,[RLABL]-radial_layout_ordered_tree_FFAC_stress,[RLABL]-radial_layout_ordered_tree_ANBC_stress,[RLALC]-nodes_number,[RLALC]-execution_time_kolo,[RLALC]-FFAC_best_correction_factor,[RLALC]-execution_time_radial_layout,[RLALC]-execution_time_ANBC,[RLALC]-execution_time_FFAC,[RLALC]-radial_layout_unordered_tree_stress,[RLALC]-radial_layout_ordered_tree_stress,[RLALC]-radial_layout_ordered_tree_FFAC_stress,[RLALC]-radial_layout_ordered_tree_ANBC_stress
S126791,325,163,0.7966001033782959,1.0,0.4833674430847168,0.9571177959442139,19.411603212356567,1.0109704611434227,0.9939014627116823,0.9741729713532453,0.9947257420514777,163,0.8255584239959717,2.1999999999999997,0.7072780132293701,0.8421144485473633,17.60070300102234,0.3015311928623403,0.29888385079029556,0.2976801272325211,0.2982883354045502
S124101,55,28,0.00706934928894043,1.9999999999999998,0.01324009895324707,0.06737828254699707,0.49079322814941406,0.5608778916961451,0.593855020893545,0.593855020893545,0.5882902103608109,28,0.006318569183349609,1.9999999999999998,0.010117769241333008,0.0529019832611084,0.3607966899871826,0.4359210026930193,0.4361863228461577,0.4361863228461578,0.4293535004935893
S135831,37,19,0.0027391910552978516,1.7999999999999998,0.005101442337036133,0.03453493118286133,0.16798114776611328,0.38923521882662454,0.398693455107872,0.39649586168137974,0.3824828037824472,19,0.002833127975463867,1.9999999999999998,0.00491786003112793,0.03441882133483887,0.20455598831176758,0.3465126115230507,0.3468010181410539,0.34680101814105385,0.33579356716534436
S154680,103,52,0.025060653686523438,2.1999999999999997,0.03773689270019531,0.11373233795166016,1.2640786170959473,0.5937779558652463,0.6302661907409801,0.6290104787334535,0.6240663951009824,52,0.05784273147583008,1.9999999999999998,0.06928586959838867,0.1697847843170166,1.4308526515960693,0.5107993540007753,0.5119661488583673,0.5119661488583673,0.50744342279884
S120361,172,87,0.3542208671569824,1.5999999999999999,0.13712859153747559,0.31856870651245117,5.231232404708862,0.6692730648523172,0.5811973721946525,0.5750906543518869,0.5820383460488611,87,0.29853320121765137,1.7999999999999998,0.11333274841308594,0.2522389888763428,4.346380233764648,0.46137046344535027,0.46333842351039667,0.4629734057408737,0.46303172465599796
S109433,110,56,0.08559823036193848,4.799999999999999,0.04363274574279785,0.12694334983825684,1.7526566982269287,0.7655934919926881,0.7770823372235295,0.7728464165101872,0.7734548308737981,56,0.08369159698486328,1.7999999999999998,0.04108738899230957,0.12060093879699707,1.5124073028564453,0.29500421444386404,0.2968552159705413,0.29670406135504157,0.29611374480029595
S122051,219,110,0.21402287483215332,50.0,0.21636700630187988,0.413515567779541,7.668909072875977,0.7885028490755924,0.7456273859539614,0.7049695993146008,0.7452215650389559,110,0.21378636360168457,1.9999999999999998,0.3440592288970947,0.3750896453857422,6.9647417068481445,0.3542817728833004,0.31934437580524905,0.31934437580524916,0.3190957533635552
S154420,83,42,0.014936447143554688,4.799999999999999,0.023281097412109375,0.08465743064880371,0.8198416233062744,0.354938615026186,0.3556766497736889,0.33470085292411167,0.35348236624277557,42,0.017449378967285156,2.1999999999999997,0.024622440338134766,0.08641719818115234,0.934016227722168,0.22368250650113944,0.2040564336481762,0.20008660677217266,0.2008229833359205
S123943,73,37,0.011603593826293945,2.1999999999999997,0.020095109939575195,0.08203673362731934,0.7034873962402344,0.5291307178187216,0.5450051885885988,0.541970532589031,0.5507757202714597,37,0.011637449264526367,2.1999999999999997,0.01897454261779785,0.07297515869140625,0.6771359443664551,0.3563272311214738,0.3555866160040161,0.35506012370001583,0.353535525030156
S148724,13,7,0.0005500316619873047,1.7999999999999998,0.0007174015045166016,0.011356592178344727,0.020373106002807617,0.2043768371134948,0.1996040095013045,0.19721515133736414,0.22933985777878008,7,0.0007379055023193359,2.1999999999999997,0.000888824462890625,0.012265920639038086,0.02339458465576172,0.1895911131703987,0.185278548664984,0.184005013413808,0.21644671099554616
S115860,83,42,0.01514434814453125,1.5999999999999999,0.02564549446105957,0.09154772758483887,0.8744559288024902,0.32297964069140966,0.29085589692726355,0.2837912854842798,0.2871678456244704,42,0.016232967376708984,1.9999999999999998,0.026233196258544922,0.0928807258605957,0.930208683013916,0.2154339877692186,0.21516323223060954,0.21516323223060957,0.21459923775100254
S1094313,100,51,0.0684814453125,52.80000000000004,0.03791999816894531,0.12018179893493652,1.300724983215332,1.0697599488324163,1.0553211555822883,1.0295796278920333,1.0543626445827028,51,0.0632169246673584,1.9999999999999998,0.034317731857299805,0.1108102798461914,1.2232787609100342,0.34018523497264763,0.34188810000952663,0.34188810000952663,0.34091251036289544
S157810,23,12,0.0011126995086669922,1.7999999999999998,0.0019321441650390625,0.019730567932128906,0.061116695404052734,0.636076959156214,0.6706205827825545,0.6684051792515923,0.5949230278600385,12,0.0012874603271484375,1.9999999999999998,0.0021905899047851562,0.02403569221496582,0.08263111114501953,0.20177033664902033,0.19611748378249802,0.19611748378249774,0.20410477299192806
S109403,97,49,0.023955583572387695,1.7999999999999998,0.03780508041381836,0.12073469161987305,1.5884404182434082,0.6458409486512908,0.6336807694995649,0.6334062658748583,0.6328473458166429,49,0.02205061912536621,1.9999999999999998,0.033846139907836914,0.10652470588684082,1.1572198867797852,0.4431098623052071,0.4421573405472642,0.44215734054726435,0.4389659283644691
S118940,116,59,0.09596061706542969,1.7999999999999998,0.051003456115722656,0.1387031078338623,1.714944839477539,0.47394342405317774,0.4775829146597401,0.4767889017024774,0.4783844684306148,59,0.09942364692687988,2.1999999999999997,0.04924917221069336,0.1458287239074707,2.022782802581787,0.42736938911018163,0.4259666339258576,0.4255208345801292,0.4250841466836198
S138602,53,28,0.008618354797363281,2.1999999999999997,0.010965108871459961,0.06438922882080078,0.3568272590637207,0.44543514671082557,0.4674165767483022,0.467033879329027,0.4655664832350177,28,0.016329050064086914,1.9999999999999998,0.017618656158447266,0.07113957405090332,0.34966206550598145,0.27989939651220985,0.2837265606391849,0.2837265606391848,0.2791900979968446
